store,region,product,date,dow,ppu,quantity,value,pc_sold
A001,A,apple,2021-04-01,THU,0.95,306,290.7,81.7
A001,A,apple,2021-04-02,FRI,0.95,301,285.95,70.6
A001,A,apple,2021-04-03,SAT,0.95,330,313.5,72.7
A001,A,apple,2021-04-04,SUN,0.95,328,311.6,70
A001,A,apple,2021-04-05,MON,0.95,297,282.15,50
A001,A,apple,2021-04-06,TUE,0.95,303,287.85,62.1
A001,A,apple,2021-04-07,WED,0.95,297,282.15,63.6
A001,A,apple,2021-04-08,THU,0.97,307,297.79,67.9
A001,A,apple,2021-04-09,FRI,0.97,302,292.94,81.3
A001,A,apple,2021-04-10,SAT,0.97,329,319.13,81.7
A001,A,apple,2021-04-11,SUN,0.97,330,320.1,75.8
A001,A,apple,2021-04-12,MON,0.97,303,293.91,64.1
A001,A,apple,2021-04-13,TUE,0.97,303,293.91,54.2
A001,A,apple,2021-04-14,WED,0.97,299,290.03,59.8
A001,A,apple,2021-04-15,THU,0.99,305,301.95,70.3
A001,A,apple,2021-04-16,FRI,0.99,300,297,70.8
A001,A,apple,2021-04-17,SAT,0.99,330,326.7,57.3
A001,A,apple,2021-04-18,SUN,0.99,326,322.74,55.7
A001,A,apple,2021-04-19,MON,0.99,301,297.99,66.6
A001,A,apple,2021-04-20,TUE,0.99,303,299.97,68.4
A001,A,apple,2021-04-21,WED,0.99,301,297.99,73.7
A001,A,apple,2021-04-22,THU,1.02,297,302.94,62.8
A001,A,apple,2021-04-23,FRI,1.02,305,311.1,60.2
A001,A,apple,2021-04-24,SAT,1.02,327,333.54,58.6
A001,A,apple,2021-04-25,SUN,1.02,329,335.58,70.3
A001,A,apple,2021-04-26,MON,1.02,302,308.04,60.3
A001,A,apple,2021-04-27,TUE,1.02,296,301.92,68.9
A001,A,apple,2021-04-28,WED,1.02,296,301.92,66.9
A001,A,apple,2021-04-29,THU,1.04,299,310.96,68.4
A001,A,apple,2021-04-30,FRI,1.04,306,318.24,65.9
A001,A,apple,2021-05-01,SAT,1.04,326,339.04,69.4
A001,A,apple,2021-05-02,SUN,1.04,329,342.16,63.4
A001,A,apple,2021-05-03,MON,1.04,297,308.88,76.6
A001,A,apple,2021-05-04,TUE,1.04,302,314.08,72
A001,A,apple,2021-05-05,WED,1.04,295,306.8,77
A001,A,apple,2021-05-06,THU,1.07,303,324.21,71.7
A001,A,apple,2021-05-07,FRI,1.07,305,326.35,61.3
A001,A,apple,2021-05-08,SAT,1.07,328,350.96,83.4
A001,A,apple,2021-05-09,SUN,1.07,331,354.17,76
A001,A,apple,2021-05-10,MON,1.07,300,321,73.5
A001,A,apple,2021-05-11,TUE,1.07,298,318.86,72.5
A001,A,apple,2021-05-12,WED,1.07,304,325.28,70
A001,A,apple,2021-05-13,THU,1.07,306,327.42,87.9
A001,A,apple,2021-05-14,FRI,1.07,300,321,84.6
A001,A,apple,2021-05-15,SAT,1.07,328,350.96,90.2
A001,A,apple,2021-05-16,SUN,1.07,327,349.89,84
A001,A,apple,2021-05-17,MON,1.07,305,326.35,82.9
A001,A,apple,2021-05-18,TUE,1.07,298,318.86,78.9
A001,A,apple,2021-05-19,WED,1.07,299,319.93,74.8
A001,A,apple,2021-05-20,THU,1.07,297,317.79,81.9
A001,A,apple,2021-05-21,FRI,1.07,304,325.28,81.8
A001,A,apple,2021-05-22,SAT,1.07,330,353.1,83.3
A001,A,apple,2021-05-23,SUN,1.07,331,354.17,80.2
A001,A,apple,2021-05-24,MON,1.07,303,324.21,84.4
A001,A,apple,2021-05-25,TUE,1.07,299,319.93,75.7
A001,A,apple,2021-05-26,WED,1.07,295,315.65,79.4
A001,A,apple,2021-05-27,THU,1.09,307,334.63,75.3
A001,A,apple,2021-05-28,FRI,1.09,296,322.64,74.9
A001,A,apple,2021-05-29,SAT,1.09,328,357.52,65.5
A001,A,apple,2021-05-30,SUN,1.09,326,355.34,78.2
A001,A,apple,2021-05-31,MON,1.09,304,331.36,74.8
A001,A,apple,2021-06-01,TUE,1.09,299,325.91,62.7
A001,A,apple,2021-06-02,WED,1.09,306,333.54,63.1
A001,A,apple,2021-06-03,THU,1.08,307,331.56,74.6
A001,A,apple,2021-06-04,FRI,1.08,303,327.24,86.2
A001,A,apple,2021-06-05,SAT,1.08,328,354.24,69.4
A001,A,apple,2021-06-06,SUN,1.08,331,357.48,76.6
A001,A,apple,2021-06-07,MON,1.08,297,320.76,76.9
A001,A,apple,2021-06-08,TUE,1.08,306,330.48,68.2
A001,A,apple,2021-06-09,WED,1.08,301,325.08,68.3
A001,A,apple,2021-06-10,THU,1.07,299,319.93,79.6
A001,A,apple,2021-06-11,FRI,1.07,296,316.72,76.8
A001,A,apple,2021-06-12,SAT,1.07,331,354.17,69.2
A001,A,apple,2021-06-13,SUN,1.07,329,352.03,65.4
A001,A,apple,2021-06-14,MON,1.07,297,317.79,66.9
A001,A,apple,2021-06-15,TUE,1.07,302,323.14,63.2
A001,A,apple,2021-06-16,WED,1.07,304,325.28,69.7
A001,A,apple,2021-06-17,THU,1.09,299,325.91,89.3
A001,A,apple,2021-06-18,FRI,1.09,300,327,95.7
A001,A,apple,2021-06-19,SAT,1.09,330,359.7,91.6
A001,A,apple,2021-06-20,SUN,1.09,325,354.25,92.9
A001,A,apple,2021-06-21,MON,1.09,304,331.36,85.6
A001,A,apple,2021-06-22,TUE,1.09,296,322.64,73.7
A001,A,apple,2021-06-23,WED,1.09,305,332.45,68.9
A001,A,apple,2021-06-24,THU,1.09,300,327,85.9
A001,A,apple,2021-06-25,FRI,1.09,306,333.54,81.6
A001,A,apple,2021-06-26,SAT,1.09,329,358.61,81.8
A001,A,apple,2021-06-27,SUN,1.09,329,358.61,89.3
A001,A,apple,2021-06-28,MON,1.09,305,332.45,96.9
